column_name,data_type,nullable,description
shahed_129_used,boolean,yes,Whether Shahed-129 MALE UCAV was used
mohajer_6_used,boolean,yes,Whether Mohajer-6 reconnaissance/strike UCAV was used
bm_liquid_fueled,boolean,yes,Whether any liquid-fueled ballistic missile was used in this wave
bm_solid_fueled,boolean,yes,Whether any solid-fueled ballistic missile was used in this wave
bm_marv_equipped,boolean,yes,Whether any MARV-equipped (maneuverable reentry vehicle) ballistic missile was used
bm_hypersonic,boolean,yes,Whether any hypersonic-class ballistic missile (Mach 5+) was used
bm_cluster_warhead,boolean,yes,Whether any ballistic missile carried cluster submunitions
cluster_munitions,boolean,yes,"Derived: true if cluster warhead confirmed for this wave (from weapons.cluster_warhead)"
cluster_warhead_confirmed,boolean,yes,Whether cluster warhead use was confirmed by IDF/police/OSINT evidence
cluster_carrier_missile,string,yes,"Missile type that delivered the cluster warhead (e.g. 'Fattah-2')"
cluster_submunition_count,integer,yes,Estimated number of submunitions per cluster warhead
cluster_submunition_explosive_kg,float,yes,Explosive weight per individual submunition in kilograms
cluster_dispersal_radius_km,float,yes,Estimated dispersal radius of submunitions in kilometers
israel_targeted,boolean,yes,Whether this wave targeted locations in Israel
us_bases_targeted,boolean,yes,Whether this wave targeted US military bases in the region
targets,string,yes,"Free-text description of targets (e.g. 'Nevatim Airbase, Ramon Airbase')"
landings_countries_iso,string,yes,"Comma-separated ISO 3166-1 alpha-2 country codes where munitions landed (e.g. 'IL, JO, PS')"
landings_countries,string,yes,"Comma-separated readable country names where munitions landed (e.g. 'Israel, Jordan, Palestine')"
targeted_tel_aviv,boolean,yes,Whether Tel Aviv / Gush Dan metropolitan area was targeted
targeted_jerusalem,boolean,yes,Whether Jerusalem area was targeted
targeted_haifa,boolean,yes,Whether Haifa / northern coast was targeted
targeted_negev_beersheba,boolean,yes,Whether Negev desert / Beersheba area was targeted (includes Nevatim/Ramon airbases)
targeted_northern_periphery,boolean,yes,Whether northern periphery (Galilee / Golan) was targeted
targeted_eilat,boolean,yes,Whether Eilat / southernmost Israel was targeted
us_bases_list,string,yes,"Comma-separated names of US military bases targeted (e.g. 'Al Udeid Air Base, Al Dhafra Air Base')"
us_naval_vessels_list,string,yes,"Comma-separated names of US naval vessels targeted (e.g. 'USS Eisenhower, USS Philippine Sea')"
target_lat,float,yes,Latitude of primary target in decimal degrees (WGS84)
target_lon,float,yes,Longitude of primary target in decimal degrees (WGS84)
target_generic_location,boolean,yes,"Whether target coordinates are an approximate centroid (true) or specifically geolocated (false/null)"
target_iaf_base,boolean,yes,"Derived: whether this wave targeted an Israeli Air Force base (Nevatim, Ramon, Tel Nof, Hatzerim, Ramat David, Ovda)"
target_us_base,boolean,yes,"Derived: whether this wave targeted a US/coalition military base"
target_naval_base,boolean,yes,"Derived: whether this wave targeted a naval base or port facility"
target_naval_vessel,boolean,yes,"Derived: whether this wave targeted a naval vessel at sea"
target_government_c2,boolean,yes,"Derived: whether this wave targeted a government HQ, ministry, or C2 node"
target_military_industrial,boolean,yes,"Derived: whether this wave targeted defense industry or military production facilities"
target_intelligence,boolean,yes,"Derived: whether this wave targeted intelligence facilities (CIA, Mossad, Unit 8200, radar)"
target_civilian_infrastructure,boolean,yes,"Derived: whether this wave targeted civilian infrastructure (airports, refineries, power plants, data centres)"
target_civilian_area,boolean,yes,"Derived: whether this wave targeted or struck residential/civilian areas"
target_diplomatic,boolean,yes,"Derived: whether this wave targeted diplomatic facilities (embassies, consulates)"
launch_site_description,string,yes,"Free-text description of launch origin (e.g. 'Western Iran, Kermanshah province')"
launch_site_lat,float,yes,Latitude of launch site in decimal degrees (WGS84)
launch_site_lon,float,yes,Longitude of launch site in decimal degrees (WGS84)
launch_site_generic_location,boolean,yes,"Whether launch site coordinates are an approximate centroid (true) or specifically geolocated (false/null)"
intercepted,boolean,yes,Whether any munitions from this wave were intercepted
interception_systems,string,yes,"Comma-separated defense systems used (e.g. 'Arrow-2, Arrow-3, David's Sling, Iron Dome')"
intercepted_by_israel,boolean,yes,Whether Israel participated in interception of this wave
intercepted_by_us,boolean,yes,Whether the United States participated in interception of this wave
intercepted_by_uk,boolean,yes,Whether the United Kingdom participated in interception of this wave
intercepted_by_jordan,boolean,yes,Whether Jordan participated in interception of this wave
intercepted_by_other,string,yes,Comma-separated names of other countries that participated in interception
estimated_intercept_count,integer,yes,Estimated number of munitions intercepted in this wave
estimated_intercept_rate,float,yes,Estimated interception rate as a decimal (0.0-1.0) for this wave
exoatmospheric_interception,boolean,yes,Whether exoatmospheric (above atmosphere ~100km) interceptions occurred
endoatmospheric_interception,boolean,yes,Whether endoatmospheric (within atmosphere) interceptions occurred
interception_report,string,yes,Free-text summary of interception activity and outcomes
estimated_munitions_count,integer,yes,Estimated total number of munitions (missiles + drones) fired in this wave
munitions_targeting_israel,integer,yes,Number of munitions in this wave directed at Israeli targets
munitions_targeting_us_bases,integer,yes,Number of munitions in this wave directed at US military bases
cumulative_total,integer,yes,Running cumulative total of all munitions fired across all waves in this operation
small_number_of_missiles,boolean,yes,Flag indicating a small/token salvo rather than a full wave
damage,string,yes,Free-text description of damage caused by this wave
fatalities,integer,yes,Total number of fatalities (military + civilian) caused by this wave
injuries,integer,yes,Total number of injuries (military + civilian) caused by this wave
civilian_casualties,integer,yes,Number of civilian casualties (killed + injured) from this wave
military_casualties,integer,yes,Number of military casualties (killed + injured) from this wave
new_country_targeted,boolean,yes,Whether this wave targeted a country not previously attacked in this operation (escalation marker)
new_weapon_first_use,boolean,yes,Whether this wave introduced a weapon system not previously used in this operation (escalation marker)
proxy_involvement,boolean,yes,"Whether proxy forces (e.g. Hezbollah, Houthis, Iraqi militias) were involved in this wave"
proxy_description,string,yes,Free-text description of proxy force involvement
description,string,yes,Free-text narrative summary of the wave
iranian_media_claims,string,yes,JSON-encoded Iranian state media claims about this wave's results
idf_statement,string,yes,Summary or excerpt of official IDF statement regarding this wave
source_urls,string,yes,Comma-separated URLs of OSINT sources documenting this wave
narrative,string,yes,"1-2 paragraph analytical description of the wave's tactical significance, targeting, and context"
,,,"--- International Reactions (international_reactions.csv / .parquet) ---"
operation,string,no,"Operation identifier: tp4 (Feb 2026+); will expand as reactions data is added for earlier operations"
iso_3166_1_alpha2,string,yes,"ISO 3166-1 alpha-2 country code (e.g. US, IR, IL); null for multilateral entities"
entity_name,string,no,"Country or organisation name (e.g. 'United States', 'European Union', 'NATO')"
entity_type,string,no,"Entity classification: 'state' or 'multilateral'"
eu_member_state,boolean,no,Whether the entity is a current EU member state
combatant,boolean,no,Whether the entity is an active participant (combatant) in the conflict
overall_stance,string,no,"Categorical stance: active_participant_coalition, active_participant_pro_iran, supports_israel, condemns_iran, calls_for_deescalation, neutral_acknowledgement, supports_iran, condemns_israel, silent"
hos_statement_made,boolean,yes,Whether the head of state issued a public statement
hos_date,datetime,yes,ISO 8601 date of the head of state's statement
hos_speaker,string,yes,Name of the head of state who made the statement
hos_speaker_title,string,yes,"Title of the speaker (e.g. 'President', 'King', 'Supreme Leader')"
hos_summary,string,yes,Brief summary of the head of state's statement
hos_statement_text,string,yes,Full or partial text of the statement
hos_statement_url,string,yes,URL source for the head of state's statement
hos_category,string,yes,"Statement tone category (e.g. 'condemnation', 'support', 'concern')"
hog_statement_made,boolean,yes,Whether the head of government issued a public statement
hog_date,datetime,yes,ISO 8601 date of the head of government's statement
hog_speaker,string,yes,Name of the head of government who made the statement
hog_speaker_title,string,yes,"Title of the speaker (e.g. 'Prime Minister', 'Chancellor')"
hog_summary,string,yes,Brief summary of the head of government's statement
hog_statement_text,string,yes,Full or partial text of the statement
hog_statement_url,string,yes,URL source for the head of government's statement
hog_category,string,yes,"Statement tone category (e.g. 'condemnation', 'support', 'concern')"
fm_statement_made,boolean,yes,Whether the foreign ministry issued a public statement
fm_date,datetime,yes,ISO 8601 date of the foreign ministry's statement
fm_speaker,string,yes,Name of the foreign ministry spokesperson or minister
fm_speaker_title,string,yes,"Title of the speaker (e.g. 'Foreign Minister', 'Spokesperson')"
fm_summary,string,yes,Brief summary of the foreign ministry's statement
fm_statement_text,string,yes,Full or partial text of the statement
fm_statement_url,string,yes,URL source for the foreign ministry's statement
fm_category,string,yes,"Statement tone category (e.g. 'condemnation', 'support', 'concern')"
additional_statements_count,integer,no,Number of additional statements beyond the three standard channels
additional_statements_json,string,yes,"JSON array of additional statements (each with speaker, title, summary, url, category)"
notes,string,yes,Free-text contextual notes about the entity's position and relevant background
