id_da_onda,operacao,numero_da_onda,data_evento,pais,latitude,longitude,drones_utilizados,misseis_balisticos_utilizados,misseis_de_cruzeiro_utilizados,estimated_munitions_count,estimated_intercept_rate,danos,mortes,feridos,interceptado
tp4_w12,tp4,12,,"AE, BH, IO, IQ, KW",28.93,48.1,True,True,False,31.0,,IRGC Navy claims: Arifjan base Kuwait hit by 12 drones in two phases; Al Minhad base UAE hit by 6 drones and 5 ballistic missiles; US naval facilities Bahrain destroyed by 6 drones; fuel tanker Athens Nova in Strait of Hormuz struck by 2 drones and still burning.,0.0,0.0,nan
tp4_w13,tp4,13,,KW,28.93,48.1,True,False,False,,,IRGC claims strikes on US Marine Corps installations at Arifjan base Kuwait,0.0,0.0,nan
tp4_w14,tp4,14,,"BH, SA",25.92,50.59,True,True,False,23.0,,IRGC claims main command building and HQ of US air base destroyed; fuel tanks set on fire. 20 drones and 3 missiles claimed to have hit targets.,0.0,0.0,nan
tp4_w15,tp4,15,,"AE, BH, IL, QA, SA",32.07,34.77,True,True,False,,,"Strikes on Al-Udeid Air Base Qatar and Israeli positions. IRGC claims 7 Israeli drones shot down (Hermes, Heron, MQ-9). Suspected cluster/fragmentation warhead detonation in Bnei Brak/Petah Tikva causing blast damage; 7 wounded (1 moderate, 6 light) per Haaretz.",0.0,0.0,nan
tp4_w16,tp4,16,,"AE, CY, IL, IQ, KW, SA, TR",32.46,35.135,True,True,False,,,"IRGC claims strikes on HaKirya (IDF general staff and Ministry of War), strategic infrastructure in Bnei Brak, military targets in Beit Hakfa",0.0,0.0,nan
tp4_w17,tp4,17,,IL,32.07,34.77,False,True,False,,,nan,0.0,0.0,nan
tp4_w19,tp4,19,,"BH, IL, KW, QA",31.925,34.995,True,True,False,,,"IRGC claims strikes on Israeli Defense Ministry Tel Aviv, Ben Gurion Airport, 7+ US/Israeli radar systems destroyed. One missile struck open area in central Israel. Amazon facility Bahrain allegedly suffered extensive damage.",0.0,0.0,True
tp4_w20,tp4,20,,IL,32.0853,34.7818,True,True,False,,,"Missile fragments and submunitions from cluster bomb warhead impacted several areas in central Israel, causing damage. One impact site in a central town sparked a fire. Police confirmed cluster bomb warhead. Each submunition carries ~2.5 kg explosive, ~20 submunitions per warhead, dispersal radius ~8 km. Submunitions designed to explode on impact; unexploded submunitions pose landmine-like hazard.",0.0,0.0,nan
tp4_w21,tp4,21,,IL,32.0853,34.7818,True,True,False,,,IRGC claims cluster warhead submunitions dispersed across target areas. No specific damage reports confirmed by Israeli sources.,0.0,0.0,nan
tp4_w22,tp4,22,,"AE, IL, QA",32.445,34.885,True,True,False,,,"IRGC claims strikes on Tel Aviv, Ben Gurion Airport, military centers in Haifa. Claims Al Udeid radar systems, air traffic control, satellite stations, and fuel depots obliterated. Claims Al Dhafra early warning radar and critical infrastructure destroyed by precision strikes and drone swarms. No confirmed Israeli casualties.",0.0,0.0,True
tp4_w23,tp4,23,,"AE, BH, IL, KW, QA, SA",31.25,34.79,True,True,nan,,,nan,0.0,0.0,True
tp4_w24,tp4,24,,IL,32.07,34.77,nan,True,nan,45.0,,Minor structural damage in Tel Aviv and Givatayim. Three missile impacts confirmed in Tel Aviv metro.,0.0,5.0,True
tp4_w25,tp4,25,,"AE, IL",32.85,35.5,True,True,nan,60.0,,nan,0.0,0.0,True
tp4_w26,tp4,26,,"AE, IL, KW",32.85,35.5,True,True,nan,37.0,,Damage to radar installations at Sdot Micha. Sirens in Kiryat Shmona and Upper Galilee.,0.0,0.0,True
tp4_w27,tp4,27,,"IL, KW",32.82,35.0,True,True,nan,30.0,,Iranian state media claimed drone swarm hit Haifa refinery causing large fires. Unconfirmed.,0.0,0.0,True
tp4_w28,tp4,28,,"IL, JO",31.66,34.78,False,True,False,,,Iranian media claimed direct ballistic missile impact in central Israel; large explosions reported in Tel Aviv. Unconfirmed independently.,,,nan
tp4_w29,tp4,29,,IL,31.66,34.78,nan,True,nan,,,nan,,,nan
